plate_id,plate_index,row,column,sample_id,sample_id2,species,reassign,rename,sex,latitude,longitude,year,month
plate3,38,D,2,utep_19947,utep19947,terrestris,terrestris,utep19947_terrestris,,31.22431667,-88.77548333,2009,
plate3,39,D,3,utep_20105,utep20105,woodhousii,woodhousii,utep20105_woodhousii,,33.62853333,-103.0819833,2010,
plate3,40,D,4,utep_20482,utep20482,velatus,woodhousii,utep20482_woodhousii,,32.907083,-94.74945,,
plate3,41,D,5,utep_20921,utep20921,woodhousii,americanus,utep20921_americanus,,35.55405,-91.83443333,2014,
plate3,42,D,6,utep_21284,utep21284,debilis,debilis,utep21284_debilis,,31.25968,-105.33402,2015,
plate3,43,D,7,utep_21286,utep21286,speciosus,speciosus,utep21286_speciosus,,31.7014,-105.47958,2015,
plate3,44,D,8,utep_21724,utep21724,speciosus,speciosus,utep21724_speciosus,,31.26087,-104.60168,2017,
plate3,45,D,9,utep_21881,utep21881,cognatus,cognatus,utep21881_cognatus,,35.536,-100.44035,2018,
plate3,46,D,10,utep_21884,utep21884,speciosus,speciosus,utep21884_speciosus,,32.75471667,-101.4320833,2018,
plate3,47,D,11,utep_21885,utep21885,speciosus,speciosus,utep21885_speciosus,,32.20195,-100.34345,2018,
plate3,48,D,12,utep_21886,utep21886,woodhousii,woodhousii,utep21886_woodhousii,,35.078,-100.4339167,2018,
plate3,49,E,1,aht_1975,aht1975,americanus,americanus,aht1975_americanus,,32.77356389,-85.53325,,
plate3,50,E,2,aht_2456,aht2456,terrestris,terrestris,aht2456_terrestris,,32.194943,-89.236288,,
plate3,51,E,3,aht_2544,aht2544,quercicus,quercicus,aht2544_quercicus,,30.99523,-86.23332,,
